"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN13LA152","ACC","86148","2013-01-31T10:45:00Z","Victoria","Texas","United States",,"N9190B","401-0922","false","Aviation","DirectorBrief","2014-01-30T05:00:00Z","2013-11-25T17:41:00Z","None","0","0","0","The mechanical failure of the engine power section, which resulted in a loss of engine power.","Aircraft - Aircraft power plant - Engine (reciprocating) - Recip engine power section - Failure, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Contributed to outcome",,"28.753609999999998","-96.984168999999994","AIR TRACTOR INC","AT-401","AIR",,,"false","1","REC",,"AAPL","137","Substantial","VMC","MORGENROTH, DARDON L","Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86148","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86148/pdf"
"ENG13WA014","INC","86212","2013-01-30T18:00:00Z","Copenhagen, Denmark",,"Denmark",,"SE-DIK",,"false","Aviation","","2020-11-03T05:00:00Z",,"None","0","0","0",,,,,,"MCDONNELL DOUGLAS","MD-82","AIR",,,"false","2",,"SCHD",,"129","None",,,"Takeoff","N/A",,"Final","","None"
"WPR13CA107","ACC","86113","2013-01-30T14:00:00Z","Kona","Hawaii","United States",,"N333PJ","3804","false","Aviation","DirectorBrief","2013-05-09T04:00:00Z","2013-03-13T19:26:00Z","None","0","0","0","The pilot’s failure to maintain adequate main rotor rpm during a practice autorotation and the flight instructor's delayed action, which resulted in a hard landing.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Prop/rotor parameters - Not attained/maintained, Personnel issues - Action/decision - Action - Delayed action - Instructor/check pilot, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot",,"19.630725000000002","-155.99030999999999","ROBINSON","R22","HELI",,,"false","1","REC",,"INST","091","Substantial","VMC","Hawaii Pacific Aviation Inc.","Emergency Descent","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86113","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86113/pdf"
"ERA13CA122","ACC","86106","2013-01-29T18:00:00Z","Westminster","Maryland","United States",,"N393GX","SCA001","false","Aviation","DirectorBrief","2013-05-23T04:00:00Z","2013-03-22T20:27:00Z","Minor","0","0","1","Impact with power lines due to the pilot’s obscured vision due to the low angle of the sun, which prevented the pilot from seeing the lines.","Environmental issues - Conditions/weather/phenomena - Light condition - Bright light - Contributed to outcome, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Object/animal/substance - Wire - Contributed to outcome",,"39.450279000000002","-77.017218999999997","AMIRKHANIAN SHAHRAM CHARL","COMMANDER","GYRO","2W2","Clearview Airpark","true","1","REC",,"PERS","091","Substantial","VMC","AMIRKHANIAN SHAHRAM C","Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86106","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86106/pdf"
"CEN13CA145","ACC","86104","2013-01-29T11:30:00Z","London","Ohio","United States",,"N193M","1190219S","false","Aviation","DirectorBrief","2013-06-19T04:00:00Z","2013-04-29T15:13:00Z","None","0","0","0","The pilot's failure to comply with established cold weather operating procedures, which resulted in a total loss of engine power. Contributing to the accident was the pilot's excessive aft cyclic input during the landing flare, which resulted in main rotor blade contact with the tail boom.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Snow - Effect on equipment",,"40.050834000000002","-83.386664999999994","HUGHES","369HS","HELI",,"None","false","1","TS",,"PERS","091","Substantial","IMC","Daniel Mills","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86104","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86104/pdf"
"DCA13WA050","ACC","86162","2013-01-29T05:00:00Z","Almaty",,"Kazakhstan",,"UP-CJ006",,"false","Aviation","","2020-11-03T05:00:00Z",,"Fatal","21","0","0",,,,,,"BOMBARDIER","CL600 2B19","AIR",,,"false",,,"SCHD",,"UNK","Destroyed",,"SCAT Airlines","Approach","N/A",,"Final","","None"
"WPR13WA156","ACC","86473","2013-01-29T05:00:00Z","Halim, Indonesia",,"Indonesia",,"PK-JBH","HA-71","false","Aviation","","2020-11-03T05:00:00Z",,"None","0","0","0",,,,,,"HAWKER","900XP","AIR",,,"false",,,,"UNK","NUSN","Substantial",,"Jhonlin Air Transport",,"N/A",,"Final","","None"
"CEN13LA147","ACC","86110","2013-01-28T19:45:00Z","Gainsville","Texas","United States",,"N4844W","001","false","Aviation","DirectorBrief","2014-03-24T04:00:00Z","2013-12-20T12:00:00Z","None","0","0","0","The pilot’s failure to follow his test plan and abort the takeoff after inadvertently lifting off during a high speed taxi test. Contributing to the accident was the pilot’s lack of flight experience in the gyroplane.","Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Climb rate - Not attained/maintained, Personnel issues - Experience/knowledge - Experience/qualifications - Total experience w/ equipment - Pilot",,"33.651668000000001","-97.197219000000004","WEBB","WEBB 2","GYRO","GLE","Gainesville Municipal Airport","true","1","REC",,"FLTS","091","Substantial","VMC","Pilot","Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86110","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86110/pdf"
"ERA13LA121","ACC","86092","2013-01-27T19:30:00Z","Yonkers","New York","United States",,"N1967E","32-920","false","Aviation","DirectorBrief","2013-08-07T04:00:00Z","2013-06-05T19:30:00Z","None","0","0","0","A partial loss of engine power for reasons that could not be determined because examination of the engine and associated components did not reveal any mechanical malfunction or failure that would have precluded normal operation.","Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"40.956665000000001","-73.901663999999997","PIPER","PA-32-260","AIR",,,"false","1","REC",,"PERS","091","Substantial","VMC","Deniece de Preister","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86092","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86092/pdf"
"ERA13CA123","ACC","86119","2013-01-27T18:00:00Z","Lancaster","Pennsylvania","United States",,"N8385S","32-8106065","false","Aviation","DirectorBrief","2013-04-25T04:00:00Z","2013-03-15T18:39:00Z","None","0","0","0","The pilot’s failure to maintain clearance from a parked vehicle while taxiing from landing.","Environmental issues - Physical environment - Object/animal/substance - Ground vehicle - Not specified, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Aircraft - Aircraft handling/service - Towing and taxiing - Taxiing - Incorrect use/operation",,"40.119998000000002","-76.289717999999993","PIPER","PA-32-301","AIR","LNS","Lancaster Airport","false","1","REC",,"PERS","091","Substantial","VMC","BELAIR FLYING CLUB INC","Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86119","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86119/pdf"
"ANC13WA025","ACC","86285","2013-01-27T17:00:00Z","Fox Creek, Alberta",,"Canada",,"C-GOCM",,"false","Aviation","","2020-11-03T05:00:00Z",,"Fatal","1","0","0",,,,,,"ROBINSON","R44",,,,"false",,,,"AOBV","NUSN","Destroyed",,"Gemini Helicopters, Inc",,"N/A",,"Final","","None"
"CEN13CA144","ACC","86094","2013-01-27T13:40:00Z","Warsaw","Indiana","United States",,"N5763H","24-1469","false","Aviation","DirectorBrief","2013-05-23T04:00:00Z","2013-03-20T13:51:00Z","None","0","0","0","The pilot's improper recovery from a bounced landing and failure to maintain control of the airplane during a go-around maneuver. Contributing to the accident were the pilot’s complacency flying the airplane and his lack of training on bounced landing recovery procedures.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Not attained/maintained, Personnel issues - Action/decision - Action - Lack of action - Pilot, Personnel issues - Experience/knowledge - Training - (general) - Pilot, Personnel issues - Psychological - Personality/attitude - Complacency - Pilot",,"41.271388999999999","-85.837219000000005","MOONEY","M20J","AIR","ASW","Warsaw Municipal Airport","false","1","REC",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86094","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86094/pdf"
"ERA13LA119","ACC","86089","2013-01-27T11:30:00Z","Palmetto","Florida","United States",,"N27CE","81","false","Aviation","DirectorBrief","2013-12-11T05:00:00Z","2013-07-03T19:03:00Z","Serious","0","1","0","The total loss of engine power for undetermined reasons, which resulted in a forced landing.","Environmental issues - Physical environment - Terrain - (general) - Contributed to outcome, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level",,"27.648332","-82.509719000000004","SHOEMAKER JAMES B","KR-2","AIR","48X","Airport Manatee","true","1","REC",,"PERS","091","Substantial","VMC","MASSA EUGENE M","Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86089","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86089/pdf"
"WPR13LA106","ACC","86102","2013-01-26T20:00:00Z","Atwater","California","United States",,"N68757","15282360","false","Aviation","DirectorBrief","2016-04-26T04:00:00Z","2016-03-10T21:23:00Z","None","0","0","0","The student pilot's inadequate flight planning, which resulted in his getting lost and not being able to return to the airport before the fuel was exhausted and the engine lost power.","Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Personnel issues - Task performance - Planning/preparation - Flight planning/navigation - Student/instructed pilot",,"37.375","-120.567779","CESSNA","152","AIR","MER","Castle Airport","false","1","REC",,"INST","091","Substantial","VMC","KS AVIATION INC","Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86102","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86102/pdf"
"ERA13CA120","ACC","86091","2013-01-26T17:15:00Z","Lake City","Florida","United States",,"N492CM","81532","false","Aviation","DirectorBrief","2013-06-12T04:00:00Z","2013-04-08T19:30:00Z","None","0","0","0","The pilot’s failure to maintain directional control during the landing roll.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"30.152221000000001","-82.659721000000005","MALLORY CHRISTOPHER L","RV-8","AIR","15FL","Cannon Creek Airpark","true","1","REC",,"PERS","091","Substantial","VMC","MALLORY CHRISTOPHER L","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86091","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86091/pdf"
"ERA13LA118","ACC","86088","2013-01-26T09:58:00Z","Okeechobee","Florida","United States",,"N9041U","359","false","Aviation","DirectorBrief","2013-12-11T05:00:00Z","2013-06-27T15:08:00Z","Minor","0","0","3","The pilot's failure to monitor carburetor temperature and use carburetor heat in conditions conducive to serious carburetor icing, which resulted in partial loss of engine power.","Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to carburetor icing - Contributed to outcome, Aircraft - Aircraft power plant - Engine fuel and control - Fuel control/carburetor - Incorrect use/operation",,"27.376111000000002","-80.791663999999997","HILLER-TRI-PLEX IND.INC.","UH-12B","HELI",,,"false","1","REC",,"AOBV","091","Substantial","VMC","Florida Helicopter Adventures LLC.","Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86088","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86088/pdf"
"DCA13CA043","ACC","86093","2013-01-25T07:30:00Z","Denver","Colorado","United States",,"N618FE","48754","false","Aviation","DirectorBrief","2020-03-30T04:00:00Z","2020-03-31T14:11:00Z","None","0","0","0","the flight crews failure to perform a takeoff performance data briefing following the final entries into the Flight Management System, which would have alerted them to the incorrect weight entry and resulting incorrect landing speeds. Contributing to the accident was the failure of the flight crew to recognize and respond to various visual cues indicating the airplane's airspeed was too slow, resulting in a higher than normal pitch during landing and the tail of the airplane striking the runway.","Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Personnel issues - Action/decision - Action - Forgotten action/omission - Flight crew, Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Flight crew",,"39.856665999999997","-104.66027800000001","MCDONNELL DOUGLAS","MD11","AIR","KDEN","Denver International","false",,"TF","NSCH",,"121","Substantial","VMC","FEDERAL EXPRESS CORP","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86093","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86093/pdf"
"WPR13LA101","ACC","86081","2013-01-24T17:45:00Z","Matlock","Washington","United States",,"N18690","15074044","false","Aviation","DirectorBrief","2014-01-13T05:00:00Z","2013-11-15T15:29:00Z","None","0","0","0","A partial loss of engine power after a descent to a lower altitude due to the student pilot's delayed action in applying carburetor heat while operating in conditions conducive to carburetor icing.","Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to carburetor icing - Contributed to outcome, Personnel issues - Action/decision - Action - Delayed action - Student/instructed pilot",,"47.407221999999997","-123.68888800000001","CESSNA","150L","AIR","SHN","Sanderson Field Airport","false","1","REC",,"INST","091","Substantial","VMC","Andrew Hansen","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86081","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86081/pdf"
"CEN13FA143","ACC","86080","2013-01-24T15:49:00Z","Richwood","Louisiana","United States",,"N980SS","E-3152","false","Aviation","DirectorBrief","2014-05-08T04:00:00Z","2014-03-14T13:42:00Z","Fatal","4","0","0","The pilot's failure to maintain control of the airplane during a missed approach in instrument meteorological conditions.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Task performance - Workload management - (general) - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - (general) - Response/compensation",,"32.456943000000003","-92.075278999999995","RAYTHEON AIRCRAFT COMPANY","A36","AIR","KMLU","Monroe Regional Airport","false","1","REC",,"PERS","091","Destroyed","IMC","Central Flying Service, Inc.","Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86080","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/86080/pdf"
