"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"OPS11IA271","INC","78285","2011-01-31T23:36:00Z","Dayton","Ohio","United States",,"N13964","145123","false","Aviation","DirectorBrief","2011-11-03T04:00:00Z","2011-10-04T18:54:00Z","None","0","0","0","The pilots' lack of consideration for developing and known weather conditions en route to and at the destination airport, resulting in a runway excursion and subsequent incursion.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Snow/slush/ice covered surface - Decision related to condition",,"39.760100999999999","-84.210776999999993","EMBRAER","EMB-145LR","AIR","KDAY","James M. Cox Dayton Internatio","false","2","TF","SCHD",,"121","Minor","VMC","EXPRESSJET AIRLINES INC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=78285","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/78285/pdf"
"WPR11FA117","ACC","78252","2011-01-31T17:25:00Z","Glendora","California","United States",,"N6922A","29022","false","Aviation","DirectorBrief","2011-11-29T05:00:00Z","2011-10-17T15:00:00Z","Serious","0","1","1","The flight crew's failure to maintain adequate terrain clearance while maneuvering in downdraft conditions over mountains.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Physical environment - Terrain - Mountainous/hilly terrain - Not specified, Environmental issues - Conditions/weather/phenomena - Wind - Downdraft - Contributed to outcome, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Flight crew",,"34.160831000000002","-117.879165","CESSNA","172","AIR",,,"false","1","REC",,"INST","091","Substantial","VMC","Gene A. Yu","Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=78252","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/78252/pdf"
"ERA11WA160","ACC","78419","2011-01-31T16:10:00Z","Novo Repartimento",,"Brazil",,"PT-KAS","18263096","false","Aviation","","2020-11-03T05:00:00Z","2011-03-16T14:25:00Z","Fatal","2","0","0",,,,"-3.8333330000000001","-50.633335000000002","CESSNA","182","AIR",,"Uniao Farm","false","1",,,"UNK","NUSN","Destroyed","VMC",,"Approach","N/A",,"Final","https://data.ntsb.gov/Docket?ProjectID=78419","None"
"WPR11GA115","ACC","78250","2011-01-31T13:15:00Z","Marana","Arizona","United States",,"N530RL","0602FF","false","Aviation","DirectorBrief","2012-12-05T05:00:00Z","2012-10-12T14:40:00Z","Fatal","1","2","1","An inadvertent tail rotor strike during an attempted pinnacle landing, which resulted in the pilot's loss of control of the helicopter. Inhospitable terrain/topography contributed to the severity of the accident.","Aircraft - Aircraft propeller/rotor - Tail rotor - Tail rotor blade - Damaged/degraded, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Terrain - Mountainous/hilly terrain - Contributed to outcome",,"32.351387000000003","-111.476112","MCDONNELL DOUGLAS HELI CO","369FF","HELI",,,"false","1","TS",,"PUBL","PUBU","Substantial","VMC","Pima County Sheriff's Department","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=78250","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/78250/pdf"
"ERA11CA153","ACC","78404","2011-01-30T17:45:00Z","Crescent City","Florida","United States",,"N324AL","59","false","Aviation","DirectorBrief","2011-06-08T04:00:00Z","2011-05-02T18:45:00Z","None","0","0","0","The pilot's inadequate flare and failure to recover from a bounced landing which resulted in a runway excursion.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"29.426943999999999","-81.604163999999997","OTTERBACK NICHOLAS J","LIGHTNING","AIR","FD44","Eagles Nest Aerodrome","true","1","REC",,"PERS","091","Substantial","VMC","EZELL RICHARD D","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=78404","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/78404/pdf"
"ERA11CA129","ACC","78237","2011-01-30T16:45:00Z","Rutherfordton","North Carolina","United States",,"N457A","M-346","false","Aviation","DirectorBrief","2011-06-08T04:00:00Z","2011-04-29T17:02:00Z","Serious","0","1","0","The pilot's failure to maintain adequate airspeed while maneuvering at low altitude resulting in a stall/spin and ground impact.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"35.423609999999996","-81.934448000000003","KOLB AIRCRAFT INC","KOLB MARK III","AIR","FQD","Rutherfordton","false","1","REC",,"PERS","091","Substantial","VMC","Ronald McKinney","Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=78237","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/78237/pdf"
"CEN11CA191","ACC","78355","2011-01-30T16:00:00Z","Newaygo","Michigan","United States",,"N127G","4795","false","Aviation","DirectorBrief","2011-06-08T04:00:00Z","2011-02-23T14:23:00Z","None","0","0","0","The pilot's loss of directional control during takeoff from a frozen lake.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Snow/slush/ice covered surface - Effect on operation, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"43.380553999999997","-85.778053","ERCOUPE","415-CD","AIR",,,"false","1","REC",,"PERS","091","Substantial","VMC","BUTTERMORE DALE D","Takeoff","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=78355","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/78355/pdf"
"ERA11CA128","ACC","78236","2011-01-30T15:51:00Z","Immokalee","Florida","United States",,"N818RJ","11199","false","Aviation","DirectorBrief","2011-06-08T04:00:00Z","2011-05-02T16:44:00Z","Serious","0","1","0","The pilot's failure to maintain control of the airplane during a high speed taxi test resulting in unintentional flight and ground collision.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Not attained/maintained",,"26.433610000000002","-81.400558000000004","Excalibur Aircraft","Excalibur","ULTR","IMM","Immokalee Regional","false","1",,,"PERS","091","Substantial","VMC","Randall Donofrio","Takeoff","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=78236","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/78236/pdf"
"CEN11LA169","ACC","78264","2011-01-30T15:50:00Z","Chesapeake","Ohio","United States",,"N55212","17275136","false","Aviation","DirectorBrief","2011-06-13T04:00:00Z",,"Minor","0","0","2","The partial loss of engine power due to carburetor icing and the pilot’s delayed use of carburetor heat and failure to attain the proper touchdown point on the runway during the precautionary landing.","Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to carburetor icing - Contributed to outcome, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot",,"38.418608999999996","-82.500556000000003","CESSNA","172P","AIR","HTW","Lawrence County Airpark","false","1","REC",,"PERS","091","Substantial","VMC","ATTITUDE AVIATION INC","Initial Climb","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/78264/pdf"
"ENG13WA023","INC","86711","2011-01-30T12:12:00Z","Keflavik",,"Iceland",,"TF-FIH","24739","false","Aviation","",,,"None","0","0","0",,,,,,"BOEING","757 - 200","AIR","BIKF","Keflavik Airport","false","2","TF","SCHD",,"NUSC",,"Unknown","Icelandair",,"N/A",,,"","None"
